model,experiment,entity_precision,entity_recall,entity_f1,dsl_correct_rate,dsl_syntax_validity,code_correct_rate,syntax_errors,semantic_errors,business_rule_inconsistencies,execution_time_seconds,estimated_cost_usd,end_to_end_success,stage_failure_count,model_experiment
bert_paper_reference,A_full_pipeline,0.3477362914862914,0.5804232804232804,0.4329464979464979,0.8698412698412699,1.0,0.8333333333333334,0.3333333333333333,0.0,0.0,5.7550001656636596e-05,0.0,0.3333333333333333,0.8333333333333334,bert_paper_reference / A_full_pipeline
bert_paper_reference,B_no_dsl,0.3477362914862914,0.5804232804232804,0.4329464979464979,0.0,0.0,0.18055555555555555,0.0,0.0,0.0,1.410000065031151e-05,0.0,0.3333333333333333,1.1666666666666667,bert_paper_reference / B_no_dsl
bert_paper_reference,C_multilayer_dsl,0.3477362914862914,0.5804232804232804,0.4329464979464979,0.29285714285714287,1.0,0.8333333333333334,0.3333333333333333,0.0,0.0,5.3499999921768904e-05,0.0,0.3333333333333333,0.8333333333333334,bert_paper_reference / C_multilayer_dsl
bert_paper_reference,D_business_rule_change,0.3477362914862914,0.5804232804232804,0.4329464979464979,0.8698412698412699,1.0,0.8333333333333334,0.3333333333333333,0.0,0.0,5.084999914591511e-05,0.0,0.3333333333333333,0.8333333333333334,bert_paper_reference / D_business_rule_change
bert_paper_reference,E_generalization,0.3477362914862914,0.5804232804232804,0.4329464979464979,0.8698412698412699,1.0,0.8333333333333334,0.3333333333333333,0.0,0.0,5.035000018930683e-05,0.0,0.3333333333333333,0.8333333333333334,bert_paper_reference / E_generalization
bert_paper_reference,F_model_comparison,0.3477362914862914,0.5804232804232804,0.4329464979464979,0.8698412698412699,1.0,0.8333333333333334,0.3333333333333333,0.0,0.0,5.0883333945724495e-05,0.0,0.3333333333333333,0.8333333333333334,bert_paper_reference / F_model_comparison
heuristic_baseline,A_full_pipeline,0.3477362914862914,0.5804232804232804,0.4329464979464979,0.8698412698412699,1.0,0.8333333333333334,0.3333333333333333,0.0,0.0,0.00013016666586433226,0.0,0.3333333333333333,0.8333333333333334,heuristic_baseline / A_full_pipeline
heuristic_baseline,B_no_dsl,0.3477362914862914,0.5804232804232804,0.4329464979464979,0.0,0.0,0.18055555555555555,0.0,0.0,0.0,1.8033334830154974e-05,0.0,0.3333333333333333,1.1666666666666667,heuristic_baseline / B_no_dsl
heuristic_baseline,C_multilayer_dsl,0.3477362914862914,0.5804232804232804,0.4329464979464979,0.29285714285714287,1.0,0.8333333333333334,0.3333333333333333,0.0,0.0,5.8066668619479365e-05,0.0,0.3333333333333333,0.8333333333333334,heuristic_baseline / C_multilayer_dsl
heuristic_baseline,D_business_rule_change,0.3477362914862914,0.5804232804232804,0.4329464979464979,0.8698412698412699,1.0,0.8333333333333334,0.3333333333333333,0.0,0.0,4.745000114780851e-05,0.0,0.3333333333333333,0.8333333333333334,heuristic_baseline / D_business_rule_change
heuristic_baseline,E_generalization,0.3477362914862914,0.5804232804232804,0.4329464979464979,0.8698412698412699,1.0,0.8333333333333334,0.3333333333333333,0.0,0.0,5.5566668985799574e-05,0.0,0.3333333333333333,0.8333333333333334,heuristic_baseline / E_generalization
heuristic_baseline,F_model_comparison,0.3477362914862914,0.5804232804232804,0.4329464979464979,0.8698412698412699,1.0,0.8333333333333334,0.3333333333333333,0.0,0.0,4.768333261987815e-05,0.0,0.3333333333333333,0.8333333333333334,heuristic_baseline / F_model_comparison
mock_llm,A_full_pipeline,0.3477362914862914,0.5804232804232804,0.4329464979464979,0.8698412698412699,1.0,0.8333333333333334,0.3333333333333333,0.0,0.0,6.206666633564358e-05,0.0,0.3333333333333333,0.8333333333333334,mock_llm / A_full_pipeline
mock_llm,B_no_dsl,0.3477362914862914,0.5804232804232804,0.4329464979464979,0.0,0.0,0.18055555555555555,0.0,0.0,0.0,1.3266668247524649e-05,0.0,0.3333333333333333,1.1666666666666667,mock_llm / B_no_dsl
mock_llm,C_multilayer_dsl,0.3477362914862914,0.5804232804232804,0.4329464979464979,0.29285714285714287,1.0,0.8333333333333334,0.3333333333333333,0.0,0.0,5.2733332267962396e-05,0.0,0.3333333333333333,0.8333333333333334,mock_llm / C_multilayer_dsl
mock_llm,D_business_rule_change,0.3477362914862914,0.5804232804232804,0.4329464979464979,0.8698412698412699,1.0,0.8333333333333334,0.3333333333333333,0.0,0.0,5.3116667307525255e-05,0.0,0.3333333333333333,0.8333333333333334,mock_llm / D_business_rule_change
mock_llm,E_generalization,0.3477362914862914,0.5804232804232804,0.4329464979464979,0.8698412698412699,1.0,0.8333333333333334,0.3333333333333333,0.0,0.0,6.728333391947672e-05,0.0,0.3333333333333333,0.8333333333333334,mock_llm / E_generalization
mock_llm,F_model_comparison,0.3477362914862914,0.5804232804232804,0.4329464979464979,0.8698412698412699,1.0,0.8333333333333334,0.3333333333333333,0.0,0.0,5.718333341064863e-05,0.0,0.3333333333333333,0.8333333333333334,mock_llm / F_model_comparison
